               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10717,            0.049337,            0.047263,             0.76289,            0.061728,            0.047898,            0.011557,            0.090483,            0.025242,            0.030384,              0.0748,              0.0028,              0.0028
                   1,            0.086801,            0.034398,            0.025458,             0.81146,            0.067901,            0.083415,             0.02295,            0.085462,            0.018379,            0.023177,            0.048644,           0.0056436,           0.0056436
                   2,            0.078539,            0.027298,            0.022146,             0.81268,             0.12654,             0.11065,             0.03978,            0.085955,            0.017588,            0.022727,             0.02243,           0.0084297,           0.0084297
                   3,            0.076961,            0.023503,            0.021676,             0.84467,             0.14673,             0.12069,            0.039573,            0.078321,            0.017928,            0.020846,            0.009703,            0.009703,            0.009703
                   4,            0.068376,            0.021668,            0.021046,             0.85443,             0.13272,             0.13568,             0.04378,            0.069574,            0.017124,            0.020049,            0.009703,            0.009703,            0.009703
                   5,            0.060853,            0.022933,             0.02006,             0.88012,              0.1358,             0.19807,             0.10278,            0.056366,            0.017405,            0.019469,            0.009604,            0.009604,            0.009604
                   6,             0.05671,            0.021326,            0.020262,             0.92189,             0.16358,             0.21261,             0.10605,            0.056242,             0.01632,             0.01873,            0.009505,            0.009505,            0.009505
                   7,            0.053652,            0.020977,            0.019978,             0.90864,             0.16049,             0.21604,             0.11478,            0.046864,            0.016007,            0.018731,            0.009406,            0.009406,            0.009406
                   8,            0.050278,            0.019801,            0.020345,             0.91645,             0.19444,             0.23555,             0.13124,            0.048892,            0.015214,            0.018369,            0.009307,            0.009307,            0.009307
                   9,            0.047889,            0.019915,            0.020319,             0.43653,             0.32164,              0.2478,             0.14595,            0.042052,             0.01475,            0.018151,            0.009208,            0.009208,            0.009208
                  10,             0.04709,            0.019614,            0.018681,             0.40124,             0.28507,             0.20416,             0.12806,            0.046177,            0.014865,            0.018499,            0.009109,            0.009109,            0.009109
                  11,            0.045369,            0.019668,             0.01798,             0.37939,              0.3084,             0.23754,             0.14216,            0.043882,            0.013893,            0.018285,             0.00901,             0.00901,             0.00901
                  12,            0.044949,            0.018745,            0.018739,             0.45488,             0.37227,             0.26212,             0.17764,            0.040563,            0.014121,            0.017846,            0.008911,            0.008911,            0.008911
                  13,            0.042738,            0.018578,            0.017822,             0.43409,             0.32764,             0.26012,             0.15689,            0.043762,            0.014004,            0.017799,            0.008812,            0.008812,            0.008812
                  14,            0.041928,            0.018578,            0.017648,             0.46406,              0.3645,             0.28157,             0.17502,             0.03895,            0.014586,             0.01759,            0.008713,            0.008713,            0.008713
                  15,             0.04074,            0.018292,            0.018815,             0.65794,             0.29964,             0.28952,             0.15272,             0.04366,            0.014389,            0.017361,            0.008614,            0.008614,            0.008614
                  16,            0.041547,            0.016958,            0.017308,             0.93478,             0.20113,             0.26077,             0.16252,            0.037566,            0.014672,            0.017118,            0.008515,            0.008515,            0.008515
                  17,            0.039729,            0.017016,            0.017643,             0.50759,             0.32194,             0.28367,             0.17909,            0.039791,            0.013976,            0.016637,            0.008416,            0.008416,            0.008416
                  18,            0.039874,            0.017414,            0.016393,             0.42259,             0.30972,             0.26948,             0.15629,            0.041071,            0.014377,            0.016203,            0.008317,            0.008317,            0.008317
                  19,            0.040393,            0.016795,            0.015745,             0.54565,             0.38132,             0.29112,             0.16516,            0.040531,            0.014209,            0.015678,            0.008218,            0.008218,            0.008218
                  20,             0.03858,            0.015605,            0.015616,             0.72821,             0.29606,             0.29416,             0.19451,            0.039085,            0.014431,            0.016099,            0.008119,            0.008119,            0.008119
