               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094253,             0.05467,             0.04624,             0.90661,            0.040123,            0.089804,            0.025039,            0.079138,            0.030748,            0.031384,              0.0748,              0.0028,              0.0028
                   1,            0.078908,            0.032839,            0.026167,             0.84708,             0.12345,             0.10115,            0.033096,             0.07276,             0.02052,            0.023505,            0.048644,           0.0056436,           0.0056436
                   2,             0.07551,            0.026864,            0.022736,             0.83977,             0.16428,             0.13088,            0.063894,            0.072855,            0.016647,            0.022423,             0.02243,           0.0084297,           0.0084297
                   3,            0.073783,            0.023283,             0.02215,             0.87164,             0.13272,             0.15468,            0.068774,            0.072553,            0.014943,            0.021631,            0.009703,            0.009703,            0.009703
                   4,            0.066094,            0.021422,             0.02075,             0.83846,             0.13889,             0.12536,            0.040823,            0.065461,            0.018713,            0.021859,            0.009703,            0.009703,            0.009703
                   5,            0.057447,            0.021724,             0.02046,             0.83945,             0.18226,             0.13608,            0.071927,            0.056371,            0.016796,            0.020891,            0.009604,            0.009604,            0.009604
                   6,            0.052045,            0.020766,            0.019894,             0.90923,             0.15741,             0.21608,             0.12448,             0.04943,            0.014253,            0.019708,            0.009505,            0.009505,            0.009505
                   7,            0.050587,            0.019149,            0.019593,             0.88162,             0.16358,             0.18611,             0.10013,            0.046506,            0.014325,            0.019273,            0.009406,            0.009406,            0.009406
                   8,            0.046803,            0.019983,            0.020991,             0.89008,             0.20679,             0.22123,             0.12418,            0.047969,            0.014078,            0.018864,            0.009307,            0.009307,            0.009307
                   9,            0.047368,            0.017729,            0.018233,             0.88386,             0.18827,             0.21061,             0.12049,            0.045449,            0.014427,            0.018493,            0.009208,            0.009208,            0.009208
                  10,            0.042412,            0.017338,            0.018184,             0.38044,             0.40147,             0.19321,             0.10437,             0.04535,            0.015357,            0.018334,            0.009109,            0.009109,            0.009109
                  11,            0.042232,            0.018175,            0.016873,             0.45033,             0.41213,             0.25962,             0.16655,            0.041373,            0.014991,            0.019307,             0.00901,             0.00901,             0.00901
                  12,            0.040811,            0.016997,            0.017985,             0.41423,             0.32146,             0.24637,              0.1397,            0.041655,             0.01459,            0.018277,            0.008911,            0.008911,            0.008911
                  13,            0.040037,            0.016746,            0.017062,             0.70569,             0.33072,             0.32992,             0.18307,            0.036448,            0.012819,             0.01771,            0.008812,            0.008812,            0.008812
                  14,            0.040027,            0.016924,            0.017193,             0.41518,             0.33381,             0.29096,             0.17811,            0.039705,            0.012919,            0.017453,            0.008713,            0.008713,            0.008713
                  15,            0.038766,            0.016109,            0.016402,             0.41992,             0.36301,             0.28613,             0.17698,            0.038191,            0.012865,            0.017235,            0.008614,            0.008614,            0.008614
                  16,             0.03817,            0.014946,            0.016873,              0.7205,             0.31738,             0.32793,             0.18225,            0.037693,            0.013076,            0.016749,            0.008515,            0.008515,            0.008515
                  17,            0.037028,            0.015295,            0.015229,             0.41437,             0.32455,              0.2847,             0.17568,            0.040768,            0.013207,            0.015381,            0.008416,            0.008416,            0.008416
                  18,            0.038653,            0.016291,             0.01478,             0.50902,             0.38224,             0.34068,             0.21864,            0.035693,            0.013163,            0.015615,            0.008317,            0.008317,            0.008317
                  19,            0.037004,             0.01616,            0.014496,             0.65316,              0.4043,             0.41945,             0.23631,            0.038011,            0.012864,            0.015063,            0.008218,            0.008218,            0.008218
                  20,            0.037678,            0.014475,            0.013142,             0.60179,              0.3991,             0.38129,              0.2579,             0.03611,             0.01364,            0.015768,            0.008119,            0.008119,            0.008119
                  21,            0.036451,             0.01447,            0.012404,             0.62118,             0.48837,             0.41318,             0.21851,            0.038509,            0.013322,            0.013675,             0.00802,             0.00802,             0.00802
                  22,            0.035532,            0.014588,            0.012344,             0.78104,             0.38046,             0.44682,             0.26057,            0.035776,            0.012587,            0.014141,            0.007921,            0.007921,            0.007921
                  23,            0.035401,            0.014514,            0.013365,             0.70551,             0.44523,             0.45066,              0.3005,            0.036425,            0.013749,            0.013857,            0.007822,            0.007822,            0.007822
                  24,            0.034562,            0.014214,            0.011713,             0.69531,             0.42521,             0.43841,             0.24368,            0.036147,             0.01348,            0.014121,            0.007723,            0.007723,            0.007723
                  25,            0.034655,            0.014782,             0.01092,             0.67802,             0.54915,             0.49258,             0.29511,             0.03749,            0.012635,            0.012396,            0.007624,            0.007624,            0.007624
                  26,            0.032985,            0.013879,             0.01062,             0.61915,             0.56838,             0.46558,             0.30672,            0.035321,            0.012261,            0.012872,            0.007525,            0.007525,            0.007525
                  27,            0.032987,            0.013793,            0.011311,             0.73091,             0.42759,             0.44048,             0.28787,            0.033982,            0.013566,            0.014131,            0.007426,            0.007426,            0.007426
                  28,            0.032724,            0.013961,             0.01018,             0.70562,             0.49217,               0.484,             0.28019,            0.038181,            0.013253,            0.012501,            0.007327,            0.007327,            0.007327
                  29,            0.033104,            0.013716,            0.010627,             0.79965,             0.46268,             0.50627,             0.34526,            0.034284,            0.012948,            0.012618,            0.007228,            0.007228,            0.007228
                  30,            0.031784,            0.013005,           0.0088438,             0.75812,             0.47602,             0.48805,             0.32991,            0.033881,            0.013213,            0.012342,            0.007129,            0.007129,            0.007129
                  31,             0.03121,            0.013633,           0.0098752,             0.80579,             0.44136,             0.51829,             0.34884,            0.032319,            0.012787,            0.012225,             0.00703,             0.00703,             0.00703
                  32,             0.03125,             0.01246,           0.0093191,             0.79222,             0.44119,             0.48392,             0.33867,            0.033899,            0.013137,            0.011633,            0.006931,            0.006931,            0.006931
